,adam,gradient_descend,ada_grad,momentum,Nesterov,rms_prop
4862,[-6.77959824e-25 -1.16219353e-25],[-4.30503749e+00  1.18738495e-04],[-1.45809383e+00  1.43066720e-10],[-4.07868532e+00  4.01243905e-05],[-4.30503749e+00  1.18738495e-04],[-7.14880497e-13 -4.99999950e-03]
4863,[-6.77959824e-25 -1.16219353e-25],[-4.30460698e+00  1.18501018e-04],[-1.45767129e+00  1.43066720e-10],[-4.07823213e+00  4.00352054e-05],[-4.30460698e+00  1.18501018e-04],[-7.14880497e-13  4.99999950e-03]
4864,[-6.77959824e-25 -1.16219353e-25],[-4.30417652e+00  1.18264019e-04],[-1.45724887e+00  1.43066720e-10],[-4.07777899e+00  3.99462176e-05],[-4.30417652e+00  1.18264019e-04],[-7.14880497e-13 -4.99999950e-03]
4865,[-6.77959824e-25 -1.16219353e-25],[-4.30374610e+00  1.18027491e-04],[-1.45682658e+00  1.43066720e-10],[-4.07732590e+00  3.98574271e-05],[-4.30374610e+00  1.18027491e-04],[-7.14880497e-13  4.99999950e-03]
4866,[-6.77959824e-25 -1.16219353e-25],[-4.30331573e+00  1.17791436e-04],[-1.45640441e+00  1.43066720e-10],[-4.07687285e+00  3.97688341e-05],[-4.30331573e+00  1.17791436e-04],[-7.14880497e-13 -4.99999950e-03]
4867,[-6.77959824e-25 -1.16219353e-25],[-4.30288540e+00  1.17555852e-04],[-1.45598238e+00  1.43066720e-10],[-4.07641986e+00  3.96804328e-05],[-4.30288540e+00  1.17555852e-04],[-7.14880497e-13  4.99999950e-03]
4868,[-6.77959824e-25 -1.16219353e-25],[-4.30245511e+00  1.17320740e-04],[-1.45556046e+00  1.43066720e-10],[-4.07596692e+00  3.95922340e-05],[-4.30245511e+00  1.17320740e-04],[-7.14880497e-13 -4.99999950e-03]
4869,[-6.77959824e-25 -1.16219353e-25],[-4.30202486e+00  1.17086094e-04],[-1.45513867e+00  1.43066720e-10],[-4.07551403e+00  3.95042330e-05],[-4.30202486e+00  1.17086094e-04],[-7.14880497e-13  4.99999950e-03]
4870,[-6.77959824e-25 -1.16219353e-25],[-4.30159466e+00  1.16851926e-04],[-1.45471701e+00  1.43066720e-10],[-4.07506119e+00  3.94164239e-05],[-4.30159466e+00  1.16851926e-04],[-7.14880497e-13 -4.99999950e-03]
4871,[-6.77959824e-25 -1.16219353e-25],[-4.30116450e+00  1.16618224e-04],[-1.45429548e+00  1.43066720e-10],[-4.07460840e+00  3.93288116e-05],[-4.30116450e+00  1.16618224e-04],[-7.14880497e-13  4.99999950e-03]
4872,[-6.77959824e-25 -1.16219353e-25],[-4.30073439e+00  1.16384989e-04],[-1.45387407e+00  1.43066720e-10],[-4.07415566e+00  3.92413910e-05],[-4.30073439e+00  1.16384989e-04],[-7.14880497e-13 -4.99999950e-03]
4873,[-6.77959824e-25 -1.16219353e-25],[-4.30030431e+00  1.16152219e-04],[-1.45345278e+00  1.43066720e-10],[-4.07370297e+00  3.91541673e-05],[-4.30030431e+00  1.16152219e-04],[-7.14880497e-13  4.99999950e-03]
4874,[-6.77959824e-25 -1.16219353e-25],[-4.29987428e+00  1.15919916e-04],[-1.45303163e+00  1.43066720e-10],[-4.07325033e+00  3.90671409e-05],[-4.29987428e+00  1.15919916e-04],[-7.14880497e-13 -4.99999950e-03]
4875,[-6.77959824e-25 -1.16219353e-25],[-4.29944429e+00  1.15688079e-04],[-1.45261059e+00  1.43066720e-10],[-4.07279774e+00  3.89803008e-05],[-4.29944429e+00  1.15688079e-04],[-7.14880497e-13  4.99999950e-03]
4876,[-6.77959824e-25 -1.16219353e-25],[-4.29901435e+00  1.15456703e-04],[-1.45218969e+00  1.43066720e-10],[-4.07234520e+00  3.88936513e-05],[-4.29901435e+00  1.15456703e-04],[-7.14880497e-13 -4.99999950e-03]
4877,[-6.77959824e-25 -1.16219353e-25],[-4.29858445e+00  1.15225788e-04],[-1.45176891e+00  1.43066720e-10],[-4.07189272e+00  3.88071986e-05],[-4.29858445e+00  1.15225788e-04],[-7.14880497e-13  4.99999950e-03]
4878,[-6.77959824e-25 -1.16219353e-25],[-4.29815459e+00  1.14995333e-04],[-1.45134825e+00  1.43066720e-10],[-4.07144028e+00  3.87209377e-05],[-4.29815459e+00  1.14995333e-04],[-7.14880497e-13 -4.99999950e-03]
4879,[-6.77959824e-25 -1.16219353e-25],[-4.29772477e+00  1.14765340e-04],[-1.45092772e+00  1.43066720e-10],[-4.07098789e+00  3.86348735e-05],[-4.29772477e+00  1.14765340e-04],[-7.14880497e-13  4.99999950e-03]
4880,[-6.77959824e-25 -1.16219353e-25],[-4.29729500e+00  1.14535807e-04],[-1.45050732e+00  1.43066720e-10],[-4.07053555e+00  3.85489956e-05],[-4.29729500e+00  1.14535807e-04],[-7.14880497e-13 -4.99999950e-03]
4881,[-6.77959824e-25 -1.16219353e-25],[-4.29686527e+00  1.14306734e-04],[-1.45008704e+00  1.43066720e-10],[-4.07008326e+00  3.84633083e-05],[-4.29686527e+00  1.14306734e-04],[-7.14880497e-13  4.99999950e-03]
4882,[-6.77959824e-25 -1.16219353e-25],[-4.29643559e+00  1.14078117e-04],[-1.44966689e+00  1.43066720e-10],[-4.06963103e+00  3.83778178e-05],[-4.29643559e+00  1.14078117e-04],[-7.14880497e-13 -4.99999950e-03]
4883,[-6.77959824e-25 -1.16219353e-25],[-4.29600594e+00  1.13849961e-04],[-1.44924686e+00  1.43066720e-10],[-4.06917884e+00  3.82925135e-05],[-4.29600594e+00  1.13849961e-04],[-7.14880497e-13  4.99999950e-03]
4884,[-6.77959824e-25 -1.16219353e-25],[-4.29557634e+00  1.13622260e-04],[-1.44882696e+00  1.43066720e-10],[-4.06872670e+00  3.82073943e-05],[-4.29557634e+00  1.13622260e-04],[-7.14880497e-13 -4.99999950e-03]
4885,[-6.77959824e-25 -1.16219353e-25],[-4.29514678e+00  1.13395014e-04],[-1.44840718e+00  1.43066720e-10],[-4.06827462e+00  3.81224658e-05],[-4.29514678e+00  1.13395014e-04],[-7.14880497e-13  4.99999950e-03]
4886,[-6.77959824e-25 -1.16219353e-25],[-4.29471727e+00  1.13168228e-04],[-1.44798753e+00  1.43066720e-10],[-4.06782258e+00  3.80377283e-05],[-4.29471727e+00  1.13168228e-04],[-7.14880497e-13 -4.99999950e-03]
4887,[-6.77959824e-25 -1.16219353e-25],[-4.29428780e+00  1.12941893e-04],[-1.4475680e+00  1.4306672e-10],[-4.06737060e+00  3.79531766e-05],[-4.29428780e+00  1.12941893e-04],[-7.14880497e-13  4.99999950e-03]
4888,[-6.77959824e-25 -1.16219353e-25],[-4.29385837e+00  1.12716007e-04],[-1.4471486e+00  1.4306672e-10],[-4.06691866e+00  3.78688099e-05],[-4.29385837e+00  1.12716007e-04],[-7.14880497e-13 -4.99999950e-03]
4889,[-6.77959824e-25 -1.16219353e-25],[-4.29342898e+00  1.12490576e-04],[-1.44672933e+00  1.43066720e-10],[-4.06646678e+00  3.77846338e-05],[-4.29342898e+00  1.12490576e-04],[-7.14880497e-13  4.99999950e-03]
4890,[-6.77959824e-25 -1.16219353e-25],[-4.29299964e+00  1.12265595e-04],[-1.44631018e+00  1.43066720e-10],[-4.06601494e+00  3.77006433e-05],[-4.29299964e+00  1.12265595e-04],[-7.14880497e-13 -4.99999950e-03]
4891,[-6.77959824e-25 -1.16219353e-25],[-4.29257034e+00  1.12041063e-04],[-1.44589115e+00  1.43066720e-10],[-4.06556315e+00  3.76168379e-05],[-4.29257034e+00  1.12041063e-04],[-7.14880497e-13  4.99999950e-03]
4892,[-6.77959824e-25 -1.16219353e-25],[-4.29214108e+00  1.11816981e-04],[-1.44547225e+00  1.43066720e-10],[-4.06511142e+00  3.75332231e-05],[-4.29214108e+00  1.11816981e-04],[-7.14880497e-13 -4.99999950e-03]
4893,[-6.77959824e-25 -1.16219353e-25],[-4.29171187e+00  1.11593344e-04],[-1.44505347e+00  1.43066720e-10],[-4.06465974e+00  3.74497939e-05],[-4.29171187e+00  1.11593344e-04],[-7.14880497e-13  4.99999950e-03]
4894,[-6.77959824e-25 -1.16219353e-25],[-4.29128270e+00  1.11370156e-04],[-1.44463482e+00  1.43066720e-10],[-4.06420810e+00  3.73665498e-05],[-4.29128270e+00  1.11370156e-04],[-7.14880497e-13 -4.99999950e-03]
4895,[-6.77959824e-25 -1.16219353e-25],[-4.29085357e+00  1.11147417e-04],[-1.4442163e+00  1.4306672e-10],[-4.06375652e+00  3.72834907e-05],[-4.29085357e+00  1.11147417e-04],[-7.14880497e-13  4.99999950e-03]
4896,[-6.77959824e-25 -1.16219353e-25],[-4.29042448e+00  1.10925123e-04],[-1.4437979e+00  1.4306672e-10],[-4.06330498e+00  3.72006167e-05],[-4.29042448e+00  1.10925123e-04],[-7.14880497e-13 -4.99999950e-03]
4897,[-6.77959824e-25 -1.16219353e-25],[-4.28999544e+00  1.10703272e-04],[-1.44337962e+00  1.43066720e-10],[-4.06285350e+00  3.71179277e-05],[-4.28999544e+00  1.10703272e-04],[-7.14880497e-13  4.99999950e-03]
4898,[-6.77959824e-25 -1.16219353e-25],[-4.28956644e+00  1.10481866e-04],[-1.44296147e+00  1.43066720e-10],[-4.06240207e+00  3.70354237e-05],[-4.28956644e+00  1.10481866e-04],[-7.14880497e-13 -4.99999950e-03]
4899,[-6.77959824e-25 -1.16219353e-25],[-4.28913749e+00  1.10260904e-04],[-1.44254345e+00  1.43066720e-10],[-4.06195068e+00  3.69530992e-05],[-4.28913749e+00  1.10260904e-04],[-7.14880497e-13  4.99999950e-03]
4900,[-6.77959824e-25 -1.16219353e-25],[-4.28870857e+00  1.10040380e-04],[-1.44212555e+00  1.43066720e-10],[-4.06149935e+00  3.68709648e-05],[-4.28870857e+00  1.10040380e-04],[-7.14880497e-13 -4.99999950e-03]
4901,[-6.77959824e-25 -1.16219353e-25],[-4.28827970e+00  1.09820301e-04],[-1.44170777e+00  1.43066720e-10],[-4.06104806e+00  3.67890048e-05],[-4.28827970e+00  1.09820301e-04],[-7.14880497e-13  4.99999950e-03]
4902,[-6.77959824e-25 -1.16219353e-25],[-4.28785087e+00  1.09600660e-04],[-1.44129012e+00  1.43066720e-10],[-4.06059683e+00  3.67072287e-05],[-4.28785087e+00  1.09600660e-04],[-7.14880497e-13 -4.99999950e-03]
4903,[-6.77959824e-25 -1.16219353e-25],[-4.28742209e+00  1.09381457e-04],[-1.44087259e+00  1.43066720e-10],[-4.06014565e+00  3.66256376e-05],[-4.28742209e+00  1.09381457e-04],[-7.14880497e-13  4.99999950e-03]
4904,[-6.77959824e-25 -1.16219353e-25],[-4.28699335e+00  1.09162699e-04],[-1.44045519e+00  1.43066720e-10],[-4.05969452e+00  3.65442260e-05],[-4.28699335e+00  1.09162699e-04],[-7.14880497e-13 -4.99999950e-03]
4905,[-6.77959824e-25 -1.16219353e-25],[-4.28656465e+00  1.08944374e-04],[-1.44003791e+00  1.43066720e-10],[-4.05924343e+00  3.64629933e-05],[-4.28656465e+00  1.08944374e-04],[-7.14880497e-13  4.99999950e-03]
4906,[-6.77959824e-25 -1.16219353e-25],[-4.28613599e+00  1.08726481e-04],[-1.43962076e+00  1.43066720e-10],[-4.05879240e+00  3.63819451e-05],[-4.28613599e+00  1.08726481e-04],[-7.14880497e-13 -4.99999950e-03]
4907,[-6.77959824e-25 -1.16219353e-25],[-4.28570738e+00  1.08509028e-04],[-1.43920373e+00  1.43066720e-10],[-4.05834142e+00  3.63010818e-05],[-4.28570738e+00  1.08509028e-04],[-7.14880497e-13  4.99999950e-03]
4908,[-6.77959824e-25 -1.16219353e-25],[-4.28527881e+00  1.08292012e-04],[-1.43878682e+00  1.43066720e-10],[-4.05789049e+00  3.62203924e-05],[-4.28527881e+00  1.08292012e-04],[-7.14880497e-13 -4.99999950e-03]
4909,[-6.77959824e-25 -1.16219353e-25],[-4.28485028e+00  1.08075430e-04],[-1.43837004e+00  1.43066720e-10],[-4.05743960e+00  3.61398814e-05],[-4.28485028e+00  1.08075430e-04],[-7.14880497e-13  4.99999950e-03]
4910,[-6.77959824e-25 -1.16219353e-25],[-4.28442179e+00  1.07859281e-04],[-1.43795339e+00  1.43066720e-10],[-4.05698877e+00  3.60595548e-05],[-4.28442179e+00  1.07859281e-04],[-7.14880497e-13 -4.99999950e-03]
4911,[-6.77959824e-25 -1.16219353e-25],[-4.28399335e+00  1.07643564e-04],[-1.43753685e+00  1.43066720e-10],[-4.05653799e+00  3.59794076e-05],[-4.28399335e+00  1.07643564e-04],[-7.14880497e-13  4.99999950e-03]
4912,[-6.77959824e-25 -1.16219353e-25],[-4.28356495e+00  1.07428281e-04],[-1.43712045e+00  1.43066720e-10],[-4.05608726e+00  3.58994338e-05],[-4.28356495e+00  1.07428281e-04],[-7.14880497e-13 -4.99999950e-03]
4913,[-6.77959824e-25 -1.16219353e-25],[-4.28313659e+00  1.07213425e-04],[-1.43670416e+00  1.43066720e-10],[-4.05563658e+00  3.58196383e-05],[-4.28313659e+00  1.07213425e-04],[-7.14880497e-13  4.99999950e-03]
4914,[-6.77959824e-25 -1.16219353e-25],[-4.28270828e+00  1.06998997e-04],[-1.4362880e+00  1.4306672e-10],[-4.05518594e+00  3.57400216e-05],[-4.28270828e+00  1.06998997e-04],[-7.14880497e-13 -4.99999950e-03]
4915,[-6.77959824e-25 -1.16219353e-25],[-4.28228001e+00  1.06785001e-04],[-1.43587197e+00  1.43066720e-10],[-4.05473536e+00  3.56605837e-05],[-4.28228001e+00  1.06785001e-04],[-7.14880497e-13  4.99999950e-03]
4916,[-6.77959824e-25 -1.16219353e-25],[-4.28185178e+00  1.06571433e-04],[-1.43545606e+00  1.43066720e-10],[-4.05428483e+00  3.55813192e-05],[-4.28185178e+00  1.06571433e-04],[-7.14880497e-13 -4.99999950e-03]
4917,[-6.77959824e-25 -1.16219353e-25],[-4.28142360e+00  1.06358292e-04],[-1.43504027e+00  1.43066720e-10],[-4.05383435e+00  3.55022275e-05],[-4.28142360e+00  1.06358292e-04],[-7.14880497e-13  4.99999950e-03]
4918,[-6.77959824e-25 -1.16219353e-25],[-4.28099545e+00  1.06145574e-04],[-1.43462461e+00  1.43066720e-10],[-4.05338392e+00  3.54233140e-05],[-4.28099545e+00  1.06145574e-04],[-7.14880497e-13 -4.99999950e-03]
4919,[-6.77959824e-25 -1.16219353e-25],[-4.28056735e+00  1.05933282e-04],[-1.43420907e+00  1.43066720e-10],[-4.05293353e+00  3.53445793e-05],[-4.28056735e+00  1.05933282e-04],[-7.14880497e-13  4.99999950e-03]
4920,[-6.77959824e-25 -1.16219353e-25],[-4.28013930e+00  1.05721419e-04],[-1.43379366e+00  1.43066720e-10],[-4.0524832e+00  3.5266018e-05],[-4.28013930e+00  1.05721419e-04],[-7.14880497e-13 -4.99999950e-03]
4921,[-6.77959824e-25 -1.16219353e-25],[-4.27971128e+00  1.05509977e-04],[-1.43337837e+00  1.43066720e-10],[-4.05203292e+00  3.51876293e-05],[-4.27971128e+00  1.05509977e-04],[-7.14880497e-13  4.99999950e-03]
4922,[-6.77959824e-25 -1.16219353e-25],[-4.27928331e+00  1.05298956e-04],[-1.4329632e+00  1.4306672e-10],[-4.05158269e+00  3.51094135e-05],[-4.27928331e+00  1.05298956e-04],[-7.14880497e-13 -4.99999950e-03]
4923,[-6.77959824e-25 -1.16219353e-25],[-4.27885538e+00  1.05088358e-04],[-1.43254816e+00  1.43066720e-10],[-4.05113251e+00  3.50313758e-05],[-4.27885538e+00  1.05088358e-04],[-7.14880497e-13  4.99999950e-03]
4924,[-6.77959824e-25 -1.16219353e-25],[-4.27842750e+00  1.04878182e-04],[-1.43213324e+00  1.43066720e-10],[-4.05068238e+00  3.49535114e-05],[-4.27842750e+00  1.04878182e-04],[-7.14880497e-13 -4.99999950e-03]
4925,[-6.77959824e-25 -1.16219353e-25],[-4.27799966e+00  1.04668427e-04],[-1.43171844e+00  1.43066720e-10],[-4.05023230e+00  3.48758198e-05],[-4.27799966e+00  1.04668427e-04],[-7.14880497e-13  4.99999950e-03]
4926,[-6.77959824e-25 -1.16219353e-25],[-4.27757186e+00  1.04459089e-04],[-1.43130377e+00  1.43066720e-10],[-4.04978226e+00  3.47983009e-05],[-4.27757186e+00  1.04459089e-04],[-7.14880497e-13 -4.99999950e-03]
4927,[-6.77959824e-25 -1.16219353e-25],[-4.27714410e+00  1.04250173e-04],[-1.43088922e+00  1.43066720e-10],[-4.04933228e+00  3.47209546e-05],[-4.27714410e+00  1.04250173e-04],[-7.14880497e-13  4.99999950e-03]
4928,[-6.77959824e-25 -1.16219353e-25],[-4.27671639e+00  1.04041673e-04],[-1.4304748e+00  1.4306672e-10],[-4.04888235e+00  3.46437756e-05],[-4.27671639e+00  1.04041673e-04],[-7.14880497e-13 -4.99999950e-03]
4929,[-6.77959824e-25 -1.16219353e-25],[-4.27628871e+00  1.03833590e-04],[-1.4300605e+00  1.4306672e-10],[-4.04843247e+00  3.45667686e-05],[-4.27628871e+00  1.03833590e-04],[-7.14880497e-13  4.99999950e-03]
4930,[-6.77959824e-25 -1.16219353e-25],[-4.27586108e+00  1.03625923e-04],[-1.42964632e+00  1.43066720e-10],[-4.04798264e+00  3.44899344e-05],[-4.27586108e+00  1.03625923e-04],[-7.14880497e-13 -4.99999950e-03]
4931,[-6.77959824e-25 -1.16219353e-25],[-4.27543350e+00  1.03418672e-04],[-1.42923226e+00  1.43066720e-10],[-4.04753286e+00  3.44132728e-05],[-4.27543350e+00  1.03418672e-04],[-7.14880497e-13  4.99999950e-03]
4932,[-6.77959824e-25 -1.16219353e-25],[-4.27500596e+00  1.03211832e-04],[-1.42881833e+00  1.43066720e-10],[-4.04708313e+00  3.43367839e-05],[-4.27500596e+00  1.03211832e-04],[-7.14880497e-13 -4.99999950e-03]
4933,[-6.77959824e-25 -1.16219353e-25],[-4.27457845e+00  1.03005408e-04],[-1.42840453e+00  1.43066720e-10],[-4.04663345e+00  3.42604622e-05],[-4.27457845e+00  1.03005408e-04],[-7.14880497e-13  4.99999950e-03]
4934,[-6.77959824e-25 -1.16219353e-25],[-4.27415100e+00  1.02799395e-04],[-1.42799084e+00  1.43066720e-10],[-4.04618381e+00  3.41843126e-05],[-4.27415100e+00  1.02799395e-04],[-7.14880497e-13 -4.99999950e-03]
4935,[-6.77959824e-25 -1.16219353e-25],[-4.27372358e+00  1.02593798e-04],[-1.42757728e+00  1.43066720e-10],[-4.04573423e+00  3.41083301e-05],[-4.27372358e+00  1.02593798e-04],[-7.14880497e-13  4.99999950e-03]
4936,[-6.77959824e-25 -1.16219353e-25],[-4.27329621e+00  1.02388612e-04],[-1.42716385e+00  1.43066720e-10],[-4.04528470e+00  3.40325197e-05],[-4.27329621e+00  1.02388612e-04],[-7.14880497e-13 -4.99999950e-03]
4937,[-6.77959824e-25 -1.16219353e-25],[-4.27286888e+00  1.02183832e-04],[-1.42675053e+00  1.43066720e-10],[-4.04483522e+00  3.39568709e-05],[-4.27286888e+00  1.02183832e-04],[-7.14880497e-13  4.99999950e-03]
4938,[-6.77959824e-25 -1.16219353e-25],[-4.27244159e+00  1.01979462e-04],[-1.42633734e+00  1.43066720e-10],[-4.04438579e+00  3.38813937e-05],[-4.27244159e+00  1.01979462e-04],[-7.14880497e-13 -4.99999950e-03]
4939,[-6.77959824e-25 -1.16219353e-25],[-4.27201435e+00  1.01775503e-04],[-1.42592427e+00  1.43066720e-10],[-4.04393641e+00  3.38060835e-05],[-4.27201435e+00  1.01775503e-04],[-7.14880497e-13  4.99999950e-03]
4940,[-6.77959824e-25 -1.16219353e-25],[-4.27158715e+00  1.01571954e-04],[-1.42551133e+00  1.43066720e-10],[-4.04348707e+00  3.37309399e-05],[-4.27158715e+00  1.01571954e-04],[-7.14880497e-13 -4.99999950e-03]
4941,[-6.77959824e-25 -1.16219353e-25],[-4.27115999e+00  1.01368811e-04],[-1.42509851e+00  1.43066720e-10],[-4.04303779e+00  3.36559628e-05],[-4.27115999e+00  1.01368811e-04],[-7.14880497e-13  4.99999950e-03]
4942,[-6.77959824e-25 -1.16219353e-25],[-4.27073287e+00  1.01166074e-04],[-1.42468581e+00  1.43066720e-10],[-4.04258856e+00  3.35811523e-05],[-4.27073287e+00  1.01166074e-04],[-7.14880497e-13 -4.99999950e-03]
4943,[-6.77959824e-25 -1.16219353e-25],[-4.27030580e+00  1.00963741e-04],[-1.42427324e+00  1.43066720e-10],[-4.04213938e+00  3.35065083e-05],[-4.27030580e+00  1.00963741e-04],[-7.14880497e-13  4.99999950e-03]
4944,[-6.77959824e-25 -1.16219353e-25],[-4.26987877e+00  1.00761814e-04],[-1.42386078e+00  1.43066720e-10],[-4.04169025e+00  3.34320309e-05],[-4.26987877e+00  1.00761814e-04],[-7.14880497e-13 -4.99999950e-03]
4945,[-6.77959824e-25 -1.16219353e-25],[-4.26945178e+00  1.00560291e-04],[-1.42344845e+00  1.43066720e-10],[-4.04124116e+00  3.33577199e-05],[-4.26945178e+00  1.00560291e-04],[-7.14880497e-13  4.99999950e-03]
4946,[-6.77959824e-25 -1.16219353e-25],[-4.26902484e+00  1.00359169e-04],[-1.42303625e+00  1.43066720e-10],[-4.04079213e+00  3.32835755e-05],[-4.26902484e+00  1.00359169e-04],[-7.14880497e-13 -4.99999950e-03]
4947,[-6.77959824e-25 -1.16219353e-25],[-4.26859793e+00  1.00158452e-04],[-1.42262417e+00  1.43066720e-10],[-4.04034315e+00  3.32095921e-05],[-4.26859793e+00  1.00158452e-04],[-7.14880497e-13  4.99999950e-03]
4948,[-6.77959824e-25 -1.16219353e-25],[-4.26817107e+00  9.99581342e-05],[-1.4222122e+00  1.4306672e-10],[-4.03989422e+00  3.31357747e-05],[-4.26817107e+00  9.99581342e-05],[-7.14880497e-13 -4.99999950e-03]
4949,[-6.77959824e-25 -1.16219353e-25],[-4.26774426e+00  9.97582219e-05],[-1.42180037e+00  1.43066720e-10],[-4.03944533e+00  3.30621182e-05],[-4.26774426e+00  9.97582219e-05],[-7.14880497e-13  4.99999950e-03]
4950,[-6.77959824e-25 -1.16219353e-25],[-4.26731748e+00  9.95587037e-05],[-1.42138865e+00  1.43066720e-10],[-4.03899650e+00  3.29886277e-05],[-4.26731748e+00  9.95587037e-05],[-7.14880497e-13 -4.99999950e-03]
4951,[-6.77959824e-25 -1.16219353e-25],[-4.26689075e+00  9.93595852e-05],[-1.42097706e+00  1.43066720e-10],[-4.03854772e+00  3.29153036e-05],[-4.26689075e+00  9.93595852e-05],[-7.14880497e-13  4.99999950e-03]
4952,[-6.77959824e-25 -1.16219353e-25],[-4.26646406e+00  9.91608664e-05],[-1.42056559e+00  1.43066720e-10],[-4.03809898e+00  3.28421405e-05],[-4.26646406e+00  9.91608664e-05],[-7.14880497e-13 -4.99999950e-03]
4953,[-6.77959824e-25 -1.16219353e-25],[-4.26603741e+00  9.89625473e-05],[-1.42015424e+00  1.43066720e-10],[-4.03765030e+00  3.27691379e-05],[-4.26603741e+00  9.89625473e-05],[-7.14880497e-13  4.99999950e-03]
4954,[-6.77959824e-25 -1.16219353e-25],[-4.26561081e+00  9.87646223e-05],[-1.41974302e+00  1.43066720e-10],[-4.03720167e+00  3.26963011e-05],[-4.26561081e+00  9.87646223e-05],[-7.14880497e-13 -4.99999950e-03]
4955,[-6.77959824e-25 -1.16219353e-25],[-4.26518425e+00  9.85670914e-05],[-1.41933192e+00  1.43066720e-10],[-4.03675308e+00  3.26236253e-05],[-4.26518425e+00  9.85670914e-05],[-7.14880497e-13  4.99999950e-03]
4956,[-6.77959824e-25 -1.16219353e-25],[-4.26475773e+00  9.83699546e-05],[-1.41892094e+00  1.43066720e-10],[-4.03630455e+00  3.25511099e-05],[-4.26475773e+00  9.83699546e-05],[-7.14880497e-13 -4.99999950e-03]
4957,[-6.77959824e-25 -1.16219353e-25],[-4.26433126e+00  9.81732176e-05],[-1.41851008e+00  1.43066720e-10],[-4.03585607e+00  3.24787549e-05],[-4.26433126e+00  9.81732176e-05],[-7.14880497e-13  4.99999950e-03]
4958,[-6.77959824e-25 -1.16219353e-25],[-4.26390482e+00  9.79768746e-05],[-1.41809935e+00  1.43066720e-10],[-4.03540763e+00  3.24065603e-05],[-4.26390482e+00  9.79768746e-05],[-7.14880497e-13 -4.99999950e-03]
4959,[-6.77959824e-25 -1.16219353e-25],[-4.26347843e+00  9.77809258e-05],[-1.41768874e+00  1.43066720e-10],[-4.03495925e+00  3.23345260e-05],[-4.26347843e+00  9.77809258e-05],[-7.14880497e-13  4.99999950e-03]
4960,[-6.77959824e-25 -1.16219353e-25],[-4.26305208e+00  9.75853656e-05],[-1.41727825e+00  1.43066720e-10],[-4.03451091e+00  3.22626521e-05],[-4.26305208e+00  9.75853656e-05],[-7.14880497e-13 -4.99999950e-03]
4961,[-6.77959824e-25 -1.16219353e-25],[-4.26262578e+00  9.73901939e-05],[-1.41686788e+00  1.43066720e-10],[-4.03406263e+00  3.21909385e-05],[-4.26262578e+00  9.73901939e-05],[-7.14880497e-13  4.99999950e-03]
4962,[-6.77959824e-25 -1.16219353e-25],[-4.26219952e+00  9.71954108e-05],[-1.41645763e+00  1.43066720e-10],[-4.03361440e+00  3.21193853e-05],[-4.26219952e+00  9.71954108e-05],[-7.14880497e-13 -4.99999950e-03]
4963,[-6.77959824e-25 -1.16219353e-25],[-4.26177330e+00  9.70010219e-05],[-1.41604751e+00  1.43066720e-10],[-4.03316621e+00  3.20479925e-05],[-4.26177330e+00  9.70010219e-05],[-7.14880497e-13  4.99999950e-03]
4964,[-6.77959824e-25 -1.16219353e-25],[-4.26134712e+00  9.68070215e-05],[-1.41563751e+00  1.43066720e-10],[-4.03271808e+00  3.19767545e-05],[-4.26134712e+00  9.68070215e-05],[-7.14880497e-13 -4.99999950e-03]
4965,[-6.77959824e-25 -1.16219353e-25],[-4.26092098e+00  9.66134097e-05],[-1.41522763e+00  1.43066720e-10],[-4.03226999e+00  3.19056763e-05],[-4.26092098e+00  9.66134097e-05],[-7.14880497e-13  4.99999950e-03]
4966,[-6.77959824e-25 -1.16219353e-25],[-4.26049489e+00  9.64201809e-05],[-1.41481788e+00  1.43066720e-10],[-4.03182195e+00  3.18347584e-05],[-4.26049489e+00  9.64201809e-05],[-7.14880497e-13 -4.99999950e-03]
4967,[-6.77959824e-25 -1.16219353e-25],[-4.26006884e+00  9.62273408e-05],[-1.41440824e+00  1.43066720e-10],[-4.03137397e+00  3.17640009e-05],[-4.26006884e+00  9.62273408e-05],[-7.14880497e-13  4.99999950e-03]
4968,[-6.77959824e-25 -1.16219353e-25],[-4.25964284e+00  9.60348836e-05],[-1.41399873e+00  1.43066720e-10],[-4.03092603e+00  3.16933982e-05],[-4.25964284e+00  9.60348836e-05],[-7.14880497e-13 -4.99999950e-03]
4969,[-6.77959824e-25 -1.16219353e-25],[-4.25921687e+00  9.58428150e-05],[-1.41358934e+00  1.43066720e-10],[-4.03047815e+00  3.16229497e-05],[-4.25921687e+00  9.58428150e-05],[-7.14880497e-13  4.99999950e-03]
4970,[-6.77959824e-25 -1.16219353e-25],[-4.25879095e+00  9.56511295e-05],[-1.41318007e+00  1.43066720e-10],[-4.03003031e+00  3.15526610e-05],[-4.25879095e+00  9.56511295e-05],[-7.14880497e-13 -4.99999950e-03]
4971,[-6.77959824e-25 -1.16219353e-25],[-4.25836507e+00  9.54598269e-05],[-1.41277092e+00  1.43066720e-10],[-4.02958252e+00  3.14825271e-05],[-4.25836507e+00  9.54598269e-05],[-7.14880497e-13  4.99999950e-03]
4972,[-6.77959824e-25 -1.16219353e-25],[-4.25793923e+00  9.52689074e-05],[-1.4123619e+00  1.4306672e-10],[-4.02913479e+00  3.14125529e-05],[-4.25793923e+00  9.52689074e-05],[-7.14880497e-13 -4.99999950e-03]
