,adam,gradient_descend,ada_grad,momentum,Nesterov,rms_prop
17512,[-6.77959824e-25 -1.16219353e-25],[-1.21497390e+00  1.43716594e-10],[-3.91149478e-02  1.32253369e-13],[-1.00012372e+00  3.03813440e-11],[-1.21497390e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
17513,[-6.77959824e-25 -1.16219353e-25],[-1.21485241e+00  1.43716594e-10],[-3.91037843e-02  1.32253369e-13],[-1.0000126e+00  3.0381344e-11],[-1.21485241e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
17514,[-6.77959824e-25 -1.16219353e-25],[-1.21473092e+00  1.43716594e-10],[-3.90926241e-02  1.32253369e-13],[-9.99901483e-01  3.03813440e-11],[-1.21473092e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
17515,[-6.77959824e-25 -1.16219353e-25],[-1.21460945e+00  1.43716594e-10],[-3.90814670e-02  1.32253369e-13],[-9.99790382e-01  3.03813440e-11],[-1.21460945e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
17516,[-6.77959824e-25 -1.16219353e-25],[-1.21448799e+00  1.43716594e-10],[-3.90703131e-02  1.32253369e-13],[-9.99679293e-01  3.03813440e-11],[-1.21448799e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
17517,[-6.77959824e-25 -1.16219353e-25],[-1.21436654e+00  1.43716594e-10],[-3.90591624e-02  1.32253369e-13],[-9.99568216e-01  3.03813440e-11],[-1.21436654e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
17518,[-6.77959824e-25 -1.16219353e-25],[-1.21424510e+00  1.43716594e-10],[-3.90480148e-02  1.32253369e-13],[-9.99457151e-01  3.03813440e-11],[-1.21424510e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
17519,[-6.77959824e-25 -1.16219353e-25],[-1.21412368e+00  1.43716594e-10],[-3.90368705e-02  1.32253369e-13],[-9.99346099e-01  3.03813440e-11],[-1.21412368e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
17520,[-6.77959824e-25 -1.16219353e-25],[-1.21400227e+00  1.43716594e-10],[-3.90257293e-02  1.32253369e-13],[-9.99235059e-01  3.03813440e-11],[-1.21400227e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
17521,[-6.77959824e-25 -1.16219353e-25],[-1.21388087e+00  1.43716594e-10],[-3.90145913e-02  1.32253369e-13],[-9.99124032e-01  3.03813440e-11],[-1.21388087e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
