epoch train_loss test_loss  accuracy
1.6905552352941824  1.721636688221418 0.2766
1.6896369875605242  1.7203678419641129 0.2764
1.6887988955090478  1.719107433463562 0.277
1.6879139155972698  1.7178460488912697 0.2778
1.6871006706229643  1.7165924089316533 0.2784
1.686401667558614  1.7153560530134098 0.2783
1.68562272609281  1.7141297932208548 0.2784
1.6849262450727398  1.71292950827371 0.2784
1.684155053438791  1.7117352173790343 0.2794
1.6834521584813718  1.7105539631525952 0.2803
1.68260082080394  1.7093738017897049 0.2779
1.681837282082104  1.7081993553488595 0.2785
1.6810608616012097  1.7070249526419272 0.29
1.6802834799423867  1.705859295777349 0.2909
1.6794829977770747  1.704701981217687 0.291
1.6787902623334705  1.7035511253354445 0.2913
1.6780515208563003  1.702410387112654 0.2919
1.6772447339599406  1.701282728798893 0.2921
1.676525932915956  1.700172648224622 0.2927
1.6756856017391881  1.699066688023724 0.2938
1.6747831303606577  1.6979723180637294 0.2947
1.673977897423451  1.6968881037248724 0.2953
1.6730734661705438  1.6958056246482178 0.2959
1.672204176603046  1.6947318190804104 0.2961
1.671433415852903  1.6936680788002756 0.2974
1.6705744032719705  1.6926050061008922 0.298
1.6698373025998603  1.691561756370702 0.2986
1.6690528082345815  1.690529015988237 0.3003
1.668155066397145  1.6894885826941584 0.3013
1.6672744620366198  1.6884569899250863 0.3016
1.6664488957461312  1.6874454514487378 0.3031
1.6656157731102252  1.6864327192780737 0.3035
1.6647567983180191  1.6854322360941525 0.3035
1.664029112699431  1.6844332879026727 0.3051
1.6632040722718697  1.683433045207028 0.3059
1.6625306732998657  1.6824393443712773 0.3068
1.661842176146411  1.6814616819352282 0.3081
1.661275057835752  1.6804933210560118 0.3085
1.6605362009449067  1.6795207785220791 0.3095
1.6597842595745096  1.6785530521379635 0.3105
1.6590454945917674  1.6775879262450966 0.3119
1.6582993608175574  1.6766291863100435 0.3128
1.657537554764754  1.6756721300132598 0.3145
1.656814263751632  1.6747175743711744 0.3157
1.6559901480983832  1.6737614939478638 0.3152
1.6553113120736953  1.6728249334758654 0.3159
1.6545294234842842  1.6718960683639126 0.3169
1.6537707213349175  1.6709743986968035 0.3175
1.6529755334576464  1.6700621558774973 0.3182
1.6522087917493302  1.6691627919661147 0.3193
1.6514329627532593  1.6682688434843491 0.3207
1.6506198426579768  1.66737953284909 0.3214
1.6497313949404404  1.6664836363191433 0.3212
1.6489399576503392  1.6656031900143558 0.3216
1.6481118345906893  1.664732362490455 0.322
1.647256846192734  1.663862208935307 0.3225
1.6464435193873441  1.6630075989595847 0.3236
1.6456180296184237  1.6621550621870378 0.3244
1.644782709321006  1.6613154755558681 0.3253
1.6439698609019169  1.660474714893944 0.3259
